index	original	translation	scores	mean	z_scores	z_mean
0	Volume of the instrument was controlled by valves operated by the knee, knobs placed above the keyboard that allowed the wind supply to bypass the reservoir and the force used to pump the bellows.	वाद्ययंत्राचा आवाज गुडघ्याद्वारे चालविल्या जाणाऱ्या वाल्व्हद्वारे नियंत्रित केला जात होता, कीबोर्डवर ठेवलेल्या घुंगरांच्या साहाय्याने वारा पुरवठा जलाशय आणि बेलो पंप करण्यासाठी वापरली जाणारी शक्ती ओलांडली जात होती.	[53, 76, 61, 70]	65.0	[-0.8709229929715474, 0.058145998669733336, 0.41082995840403497, -0.7998483699362426]	-0.3004488514585054
1	This culture is prevalent in all the 33 districts of Rajasthan but the popular in regions such as Marwar, Mewar, Dhundhar, Hadoti, Godwad, Shekhawati, Vagad, Bikana, and Mewat.	ही संस्कृती राजस्थानच्या सर्व ३३ जिल्ह्यांमध्ये प्रचलित आहे परंतु मारवाड, मेवाड, धुंधार, हडोती, गोडवाड, शेखावती, वगड, बिकाना आणि मेवात यासारख्या प्रदेशांमध्ये लोकप्रिय आहे.	[49, 74, 75, 97]	73.75	[-1.0891421114049669, -0.10620644633902415, 1.2233953928496557, 0.9806981220305704]	0.2521862392840587
2	Today, though it is performed in various places as a staged performance by members of different communities, there are very few families and artists who are experts in this rigorous art form.	आज, जरी विविध समुदायांच्या सदस्यांनी विविध ठिकाणी सादरीकरण केले असले, तरी या कठोर कलाप्रकारात तज्ज्ञ असलेली फार कमी कुटुंबे आणि कलाकार आहेत.	[83, 76, 34, 85]	69.5	[0.7657203952790983, 0.058145998669733336, -1.1562605223125193, 0.18934412560087568]	-0.0357625006907029
3	These are East Asian Languages Division, Germanic Languages Division, Romance Languages Division, Slavonic Languages Division,West Asian and African Languages Division.	यामध्ये पूर्व आशियाई भाषा विभाग, जर्मन भाषा विभाग, रोमन भाषा विभाग, स्लाव्होनिक भाषा विभाग, पश्चिम आशियाई आणि आफ्रिकन भाषा विभाग यांचा समावेश आहे.	[95, 50, 88, 98]	82.75	[1.4203777505793567, -2.078435786444114, 1.9779204391205893, 1.0466442883997116]	0.5916266729138859
4	Kachori-sabzi is only available in the mornings, so you have to rush before it runs out and the shops abandon selling it in favour of evening snacks.	कचोरी-सब्जी फक्त सकाळी उपलब्ध असते, म्हणून ते संपण्यापूर्वी तुम्हाला धावपळ करावी लागते आणि दुकानांनी संध्याकाळी नाश्ता विकणे सोडून द्यावे लागते.	[50, 53, 36, 60]	49.75	[-1.034587331796612, -1.831907118930978, -1.040179745963145, -1.4593100336276548]	-1.3414960575795971
5	Get more fibre in to your diet – aim for about 30g of fibre a day.	आपल्या आहारात अधिक फायबर मिळवा-दररोज सुमारे 30 ग्रॅम फायबरचे लक्ष्य ठेवा.	[79, 76, 67, 85]	76.75	[0.547501276845679, 0.058145998669733336, 0.7590722874521582, 0.18934412560087568]	0.3885159221421115
6	The tropical climate of the place inspires spicy and intense flavours.	येथील उष्णकटिबंधीय हवामान चवदार आणि तीव्र चव प्रेरित करते.	[85, 85, 74, 92]	84.0	[0.874829954495808, 0.797732001209142, 1.1653550046749686, 0.6509672901848642]	0.8722210626411957
7	When our government directly signed the Rafale fighter aircraft deal with the French government, then they started having problems again.	जेव्हा आमच्या सरकारने थेट फ्रान्सशी राफेल लढाऊ विमानांचा करार केला तेव्हा त्यांना पुन्हा अडचणी येऊ लागल्या.	[74, 86, 69, 85]	78.5	[0.27472737880390463, 0.8799082237135208, 0.8751530638015326, 0.18934412560087568]	0.5547831979799585
8	The lack of clarity surrounding the multiple custodians of the Diamond before its arrival in England sparked suspicions amidst the Court of Directors regarding the authenticity of the Royal gift.	इंग्लंडला पोहोचण्यापूर्वी हिरेच्या अनेक संरक्षकांविषयी स्पष्टतेचा अभाव शाही भेटवस्तूच्या प्रामाणिकतेबद्दल संचालक मंडळाच्या दरम्यान संशय निर्माण झाला.	[81, 82, 49, 90]	75.5	[0.6566108360623887, 0.5512033336960058, -0.28565469969221136, 0.5190749574465818]	0.3603086068781912
9	The cheesy grilled sandwiches are made with generous amounts of grated cheese blocks and the sandwich filling is stuffed with tomatoes, onions and capsicum.	चिकन ग्रिल्ड सँडविच मोठ्या प्रमाणात चिरलेला चीज ब्लॉक्सने बनवले जातात आणि सँडविच टोमॅटो, कांदा आणि कॅप्सिकमसह भरले जातात.	[58, 66, 12, 91]	56.75	[-0.5981490949297731, -0.7636162263740541, -2.4331490621556378, 0.585021123815723]	-0.8024733149109355
10	It's used to kill as many leukaemia cells in your body as possible and reduce the risk of the condition coming back (relapsing).	हे शक्य तितक्या ल्युकेमिया पेशी नष्ट करण्यासाठी वापरले जाते आणि परत येण्याची जोखीम कमी करते.	[53, 71, 78, 96]	74.5	[-0.8709229929715474, -0.3527351138521604, 1.3975165573737174, 0.9147519556614291]	0.2721526015528597
11	It was invented in the 20th century by a confectioner and hotelier named Sudarshan Sahu.	२० व्या शतकात सुदर्शन साहू नावाच्या मिष्टान्न आणि हॉटेलमालकाने याचा शोध लावला.	[22, 72, 73, 95]	65.5	[-2.562121160830548, -0.27055889134778166, 1.1073146165002814, 0.8488057892922879]	-0.21913991159644
12	The Orissan spire does precisely this, proclaiming the presence of God far and wide, from its lofty and imposing structure as at the Jagannath temple at Puri or the Lingaraja at Bhubaneswar; driving awe and respect into the hearts of the faithful and impressing all who approach it.	पुरीच्या जगन्नाथ मंदिरात किंवा भुवनेश्वरच्या लिंगराजमध्ये असलेल्या देवाच्या अस्तित्वाची घोषणा करून ओरीसियन शिखर अचूकपणे हेच करते, ज्यामुळे विश्वासू लोकांच्या हृदयात विस्मय आणि आदर निर्माण होतो आणि जे त्याच्याकडे येतात त्यांना प्रभावित करते.	[53, 84, 66, 84]	71.75	[-0.8709229929715474, 0.7155557787047633, 0.701031899277471, 0.12339795923173445]	0.1672656610606053
13	Criticizing the opposition, he said earlier the decisions of the government were opposed but now the criticism is based on mere apprehensions.	विरोधकांवर टीका करताना ते म्हणाले की, पूर्वी सरकारच्या निर्णयांना विरोध केला जात होता, परंतु आता टीका केवळ भीतीवर आधारित आहे.	[67, 75, 37, 88]	66.75	[-0.1071560784545794, -0.024030223834645408, -0.9821393577884577, 0.38718262470829934]	-0.1815357588423458
14	It's not certain that you can do anything to reduce your risk, but eating a balanced diet, losing weight if you're overweight and not drinking too much alcohol may help.	जोखीम कमी करण्यासाठी तुम्ही काहीही करू शकता याची खात्री नाही, पण संतुलित आहार घ्या, जास्त वजन असेल तर वजन कमी करा आणि जास्त मद्यपान करू नका.	[62, 70, 49, 83]	66.0	[-0.3799299764963537, -0.4349113363565391, -0.28565469969221136, 0.057451792862593234]	-0.2607610549206277
15	The audio recording is from the archives of the Sangeet Natak Akademi.	ऑडिओ रेकॉर्डिंग संगीत नाटक अकादमीच्या संग्रहातून आहे.	[81, 94, 39, 99]	78.25	[0.6566108360623887, 1.5373180037485508, -0.8660585814390833, 1.1125904547688528]	0.6101151782851773
16	This shows that up to this era, at least, the grammar of Indian music was more or less one throughout the country.	यावरून हे दिसून येते की, किमान या युगापर्यंत भारतीय संगीताचे व्याकरण जवळजवळ संपूर्ण देशात होते.	[67, 61, 51, 88]	66.75	[-0.1071560784545794, -1.1744973388959479, -0.16957392334283697, 0.38718262470829934]	-0.2660111789962662
17	My dear countrymen, Namaskar. During this ongoing period of Corona, the whole world is going through numerous phases of transformation.	माझ्या प्रिय देशवासियांनो, नमस्कार, कोरोनाच्या या काळात संपूर्ण जग परिवर्तनाच्या अनेक टप्प्यांमधून जात आहे.	[81, 75, 40, 93]	72.25	[0.6566108360623887, -0.024030223834645408, -0.8080181932643962, 0.7169134565540055]	0.1353689688793381
18	Moving forward the next encounter would be with the “zigzag” or reverse at the seventeenth and a half mile, the first set of reverses, which was another unique feature of the line.	पुढे जाताना पुढील सामना 'झिगझॅग' किंवा 'रिव्हर्स' सह साडेसात मैल अंतरावर असेल, पहिला सेट रिव्हर्स, जो रेषेचे आणखी एक वैशिष्ट्य होते.	[73, 30, 59, 20]	45.5	[0.22017259919554977, -3.721960236531689, 0.2947491820546606, -4.097156688393304]	-1.826048785918696
19	Devendra Jhajharia narrated the difficult phase after he lost an arm owing to an electric shock and how his mother inspired him to behave as a normal child and work towards fitness.	विजेच्या धक्क्यामुळे आपला हात गमावल्यानंतर आणि आपल्या आईने आपल्याला कसे सामान्य मुलासारखे वागण्याची आणि फिटनेससाठी काम करण्याची प्रेरणा दिली हे देवेंद्र झाझरियाने सांगितले.	[83, 80, 75, 85]	80.75	[0.7657203952790983, 0.3868508886872483, 1.2233953928496557, 0.18934412560087568]	0.6413277006042195
20	If we are able to shape and teach the child and bring him up to this level, the student will be more able to understand the content of the rest of the subjects in the future.	जर आपण मुलाला आकार देऊ शकलो, त्याला शिकवू शकलो आणि त्याला या स्तरापर्यंत आणू शकलो तर विद्यार्थी भविष्यात उर्वरित विषयांचा विषय समजू शकेल.	[78, 72, 87, 77]	78.5	[0.49294649723732403, -0.27055889134778166, 1.919880050945902, -0.3382252053522541]	0.4510106128707975
21	I can’t even speak what these people have said in the recent past, have leveled unfounded allegations, have used the kind of language and have expressed their desires.	या लोकांनी अलीकडेच जे काही म्हटले आहे, निराधार आरोप केले आहेत, ज्या प्रकारची भाषा वापरली आहे, इच्छा व्यक्त केल्या आहेत, ते मी बोलू शकत नाही.	[89, 87, 48, 90]	78.5	[1.0930490729292275, 0.9620844462178996, -0.34369508786689856, 0.5190749574465818]	0.5576283471817026
22	A small bifacial cylindrical shaped drum, made of locally available soft wood.	स्थानिक पातळीवर उपलब्ध असलेल्या मऊ लाकडापासून बनवलेला एक छोटा दुहेरी बेलनाकार आकाराचा ड्रम.	[70, 30, 48, 85]	58.25	[0.05650826037048518, -3.721960236531689, -0.34369508786689856, 0.18934412560087568]	-0.9549507346068068
23	It comes as tablets, including tablets that melt on your tongue, capsules and a liquid.	हे आपल्या जीभेवर वितळणाऱ्या गोळ्या, कॅप्सूल आणि द्रव पदार्थांच्या स्वरूपात येते.	[69, 67, 52, 86]	68.5	[0.0019534807621303194, -0.6814400038696754, -0.11153353516814979, 0.2552902919700169]	-0.1339324415764194
