index	original	translation	scores	mean	z_scores	z_mean
0	St. Clare, however, believes he is not biased, even though he is a slave owner.	అయితే, సెయింట్ క్లేర్, అతను ఒక బానిస యజమాని అయినప్పటికీ, అతను పక్షపాతం లేనివాడు అని నమ్ముతాడు.	[85,85,85]	85.0	[0.0676059957943164, 0.587649139034211, 0.07452756163991267]	0.243260898822813
1	The displaced people were relocated in Karol Bagh to the west, a rocky area populated only by trees and wild bushes.	ఈ ప్రాంతం పశ్చిమ దిశగా ఉన్న కరోల్ బాగ్ లోని ఒక రాతి ప్రాంతంలో చెట్లు, అడవి పొదలు మాత్రమే ఉన్నాయి.	[80,80,82]	80.6666666666667	[0.012461157816244852, 0.19260227620773965, 0.04143781589087115]	0.0821670833049519
2	It is a reserved seat for the Scheduled tribes (ST).	ఇది షెడ్యూల్డ్ ట్రైబ్లకు (ఎస్ టి) రిజర్వు చేయబడిన సీటు.	[90,90,85]	88.3333333333333	[0.12275083377238796, 0.9826960018606823, 0.07452756163991267]	0.393324799090994
3	He did B.Sc in Physics from Nizam College, Hyderabad.	హైదరాబాద్లోని నిజాం కాలేజీ నుంచి భౌతికశాస్త్రంలో బిఎస్సి చేశారు.	[70,70,65]	68.3333333333333	[-0.09782851813989826, -0.597491449445203, -0.1460707433536975]	-0.280463570312933
4	Singh has published various novels, short story collections, plays, children's literature and also an autobiography in two parts.	సింగ్ వివిధ నవలలు, చిన్న కథల సేకరణలు, నాటకాలు, పిల్లల సాహిత్యం మరియు రెండు భాగాలుగా ఆటోబయోగ్రఫీని ప్రచురించారు.	[75,75,70]	73.3333333333333	[-0.0426836801618267, -0.20244458661873171, -0.09092116710529495]	-0.112016477961951
5	Her father Nagnajit was the king of Kosala, whose capital was Ayodhya.	ఆమె తండ్రి నాగ్నాజిత్ కోసలా రాజు, దీని రాజధాని అయోధ్య.	[80,80,80]	80.0	[0.012461157816244852, 0.19260227620773965, 0.01937798539151013]	0.0748138064718315
6	His grandson David Ross inaugurated it.	అతని మనవడు డేవిడ్ రాస్ దీనిని ప్రారంభించాడు.	[90,90,90]	90.0	[0.12275083377238796, 0.9826960018606823, 0.12967713788831522]	0.411707991173795
7	The Pampa Prashasti is presented by the Chief Minister, during the Kadambotsava, a cultural festival held annually in Pampa's hometown of Banavasi in Uttara Kannada district.	ఉత్తరా కన్నడ జిల్లాలోని బనావాసీలో వార్షికంగా జరుగుతున్న సాంస్కృతిక పండుగ అయిన కదంబోత్సవంలో ముఖ్యమంత్రి పంపా ప్రశస్తీని సమర్పించారు.	[50,50,50]	50.0	[-0.31840787005218446, -2.1776789007510886, -0.3115194720989051]	-0.935868747634059
8	The 133 feet denote Tirukkuṟaḷ's 133 chapters or athikarams and the show of three fingers denote the three themes Aram, Porul, and Inbam, that is, the sections on morals, wealth and love.	133 అడుగులు తిరుక్కూరాలా యొక్క 133 అధ్యాయాలను లేదా అథికారామ్లను సూచిస్తాయి మరియు మూడు వేళ్ల ప్రదర్శన మూడు అంశాలైన అరామ్, పోరుల్, మరియు ఇన్బమ్ను సూచిస్తుంది, అనగా నైతికత, సంపద మరియు ప్రేమపై విభాగాలు.	[75,75,80]	76.6666666666667	[-0.0426836801618267, -0.20244458661873171, 0.01937798539151013]	-0.0752500937963494
9	Based on this statement, the proponents of this theory argue that the Satavahana rule began immediately after the Maurya rule, followed by a Kanva interregnum, and then, a revival of the Satavahana rule.	ఈ ప్రకటన ఆధారంగా, ఈ సిద్ధాంతం యొక్క ప్రతిపాదకులు సతవాహనా పాలన మౌర్య పాలన తర్వాత వెంటనే ప్రారంభమైందని వాదిస్తున్నారు, తరువాత కన్వా ఇంటర్ రెగ్యున్మ్, తరువాత సతవాహనా పాలన పునరుద్ధరణ.	[90,90,85]	88.3333333333333	[0.12275083377238796, 0.9826960018606823, 0.07452756163991267]	0.393324799090994
10	Chhapra is a city and headquarters of the Saran district in the Indian state of Bihar.	ఛాప్ర భారతదేశంలోని బిహార్ రాష్ట్రంలోని సారాన్ జిల్లాలోని ఒక నగరం మరియు ప్రధాన కార్యాలయం.	[80,80,80]	80.0	[0.012461157816244852, 0.19260227620773965, 0.01937798539151013]	0.0748138064718315
11	Gandhi had managed to have 90,000 political prisoners, who were not members of his Satyagraha movement, released under the Gandhi-Irwin Pact.	గాంధీ-ఇర్విన్ ఒప్పందం కింద గాంధీ తన సత్యగ్రహా ఉద్యమంలో సభ్యులు కానటువంటి 90,000 మంది రాజకీయ ఖైదీలను విడుదల చేయగలిగారు.	[90,90,90]	90.0	[0.12275083377238796, 0.9826960018606823, 0.12967713788831522]	0.411707991173795
12	The Ebola epidemic affected the treatment of other diseases in Guinea.	ఎబోలా వ్యాప్తి గైనాలో ఇతర వ్యాధుల చికిత్సను ప్రభావితం చేసింది.	[80,80,80]	80.0	[0.012461157816244852, 0.19260227620773965, 0.01937798539151013]	0.0748138064718315
13	He attended Scotch College.	అతను స్కాట్ కాలేజీలో చదువుకున్నాడు.	[70,70,65]	68.3333333333333	[-0.09782851813989826, -0.597491449445203, -0.1460707433536975]	-0.280463570312933
14	In Ghana, cassava chips are called konkonte.	గనాలో, కాసావా చిప్స్ కు కాంకోంట్ అని పిలుస్తారు.	[70,70,70]	70.0	[-0.09782851813989826, -0.597491449445203, -0.09092116710529495]	-0.262080378230132
15	Understanding the intentions and motives of others aids in the interpretation of communication, and the achievement of cooperative goals.	ఇతరుల ఉద్దేశాలు, ఉద్దేశాలను అర్థం చేసుకోవడం కమ్యూనికేషన్ యొక్క వ్యాఖ్యానానికి, సహకార లక్ష్యాల సాధనకు సహాయపడుతుంది.	[90,90,90]	90.0	[0.12275083377238796, 0.9826960018606823, 0.12967713788831522]	0.411707991173795
16	The issuance of the currency is controlled by the Reserve Bank of India.	ఈ కరెన్సీని జారీ చేయడం రిజర్వ్ బ్యాంక్ ఆఫ్ ఇండియాచే నియంత్రించబడుతుంది.	[90,90,85]	88.3333333333333	[0.12275083377238796, 0.9826960018606823, 0.07452756163991267]	0.393324799090994
